product_id,product_name,category,unit_cost,unit_price,demand_index
143,Product 0143,Home & Kitchen,57.84,92.83,1.372
144,Product 0144,Apparel,81.78,110.46,0.573
145,Product 0145,Office Supplies,27.57,53.09,0.564
146,Product 0146,Apparel,7.0,13.73,1.171
147,Product 0147,Electronics,25.81,38.5,0.22
148,Product 0148,Office Supplies,88.71,133.79,0.225
149,Product 0149,Pharmaceuticals,23.63,47.1,3.163
150,Product 0150,Industrial Parts,85.92,109.15,0.618
151,Product 0151,Automotive,25.9,43.83,0.57
152,Product 0152,Industrial Parts,41.78,68.69,0.108
153,Product 0153,Apparel,47.6,87.42,0.353
154,Product 0154,Automotive,23.55,32.71,1.957
155,Product 0155,Apparel,42.07,76.49,1.238
156,Product 0156,Pharmaceuticals,15.15,23.79,0.361
157,Product 0157,Office Supplies,38.41,68.21,0.715
158,Product 0158,Office Supplies,45.23,58.08,0.336
159,Product 0159,Home & Kitchen,7.33,12.04,0.416
160,Product 0160,Food & Beverage,25.66,43.47,0.318
161,Product 0161,Pharmaceuticals,56.79,81.33,0.219
162,Product 0162,Industrial Parts,21.68,29.67,0.531
163,Product 0163,Apparel,62.4,88.0,0.458
164,Product 0164,Industrial Parts,66.0,101.81,3.146
165,Product 0165,Automotive,56.65,75.47,0.154
166,Product 0166,Office Supplies,74.68,153.48,0.412
167,Product 0167,Electronics,14.39,22.94,1.027
168,Product 0168,Automotive,83.88,162.53,0.492
169,Product 0169,Food & Beverage,23.82,49.5,2.439
170,Product 0170,Office Supplies,50.97,67.21,0.347
171,Product 0171,Industrial Parts,122.6,221.16,0.178
172,Product 0172,Electronics,37.88,75.41,1.759
173,Product 0173,Home & Kitchen,48.34,86.49,0.133
174,Product 0174,Food & Beverage,23.92,38.62,0.389
175,Product 0175,Office Supplies,121.92,197.07,0.309
176,Product 0176,Automotive,25.7,32.91,0.62
177,Product 0177,Electronics,69.36,118.22,0.905
178,Product 0178,Electronics,94.9,198.77,0.438
179,Product 0179,Industrial Parts,73.2,151.15,1.455
180,Product 0180,Pharmaceuticals,58.73,75.43,0.122
181,Product 0181,Electronics,50.5,93.42,0.295
182,Product 0182,Automotive,19.35,29.15,0.587
183,Product 0183,Pharmaceuticals,118.87,239.83,0.342
184,Product 0184,Electronics,55.9,72.02,0.173
185,Product 0185,Electronics,48.36,98.92,0.21
186,Product 0186,Industrial Parts,22.5,44.14,0.358
187,Product 0187,Automotive,49.8,67.22,0.311
188,Product 0188,Food & Beverage,46.51,60.5,0.912
189,Product 0189,Industrial Parts,122.6,240.23,0.813
190,Product 0190,Home & Kitchen,48.34,66.82,0.764
191,Product 0191,Office Supplies,49.31,84.06,0.656
192,Product 0192,Industrial Parts,22.7,46.04,0.987
193,Product 0193,Home & Kitchen,29.24,50.65,2.937
194,Product 0194,Industrial Parts,64.65,102.64,0.272
195,Product 0195,Electronics,12.31,20.04,1.762
196,Product 0196,Home & Kitchen,83.62,109.01,0.107
197,Product 0197,Pharmaceuticals,84.91,176.06,3.079
198,Product 0198,Office Supplies,27.2,41.18,0.149
199,Product 0199,Automotive,58.86,83.05,0.156
200,Product 0200,Food & Beverage,96.65,144.31,0.396
201,Product 0201,Pharmaceuticals,44.22,91.52,0.179
202,Product 0202,Electronics,39.22,52.17,0.106
203,Product 0203,Industrial Parts,42.3,84.06,0.1
204,Product 0204,Office Supplies,55.82,103.36,0.264
205,Product 0205,Electronics,31.8,62.19,1.313
206,Product 0206,Office Supplies,37.13,77.21,0.16
207,Product 0207,Automotive,56.49,111.05,0.618
208,Product 0208,Home & Kitchen,35.2,72.23,1.291
209,Product 0209,Food & Beverage,21.3,28.92,0.204
210,Product 0210,Food & Beverage,11.44,22.04,0.268
211,Product 0211,Electronics,48.91,83.82,9.089
212,Product 0212,Electronics,93.27,159.68,0.83
213,Product 0213,Automotive,60.6,122.05,0.489
214,Product 0214,Office Supplies,21.9,45.47,1.431
215,Product 0215,Electronics,29.1,53.81,0.151
216,Product 0216,Automotive,39.03,64.81,1.121
217,Product 0217,Apparel,124.8,204.42,0.961
218,Product 0218,Automotive,128.6,202.98,0.329
219,Product 0219,Pharmaceuticals,120.2,187.19,0.28
220,Product 0220,Electronics,51.96,82.24,0.554
221,Product 0221,Automotive,215.18,285.39,1.035
222,Product 0222,Office Supplies,30.07,39.57,1.175
223,Product 0223,Food & Beverage,38.13,72.94,1.894
224,Product 0224,Electronics,79.97,130.28,0.196
225,Product 0225,Apparel,56.66,115.65,0.234
226,Product 0226,Apparel,58.59,103.73,0.949
227,Product 0227,Industrial Parts,24.53,31.4,0.196
228,Product 0228,Apparel,46.3,64.07,0.104
229,Product 0229,Food & Beverage,30.36,43.26,0.214
230,Product 0230,Food & Beverage,18.37,38.2,0.279
231,Product 0231,Food & Beverage,32.78,47.07,0.28
232,Product 0232,Apparel,56.67,95.68,0.768
233,Product 0233,Electronics,72.59,148.5,0.686
234,Product 0234,Office Supplies,11.1,23.09,0.409
235,Product 0235,Home & Kitchen,47.64,69.12,0.905
236,Product 0236,Automotive,45.02,58.15,0.457
237,Product 0237,Office Supplies,54.94,75.85,0.71
238,Product 0238,Electronics,22.19,28.93,3.278
239,Product 0239,Electronics,22.5,31.86,1.002
240,Product 0240,Electronics,94.68,164.11,0.253
241,Product 0241,Apparel,27.44,55.58,0.181
242,Product 0242,Electronics,36.97,63.09,2.742
243,Product 0243,Food & Beverage,39.41,70.23,0.733
244,Product 0244,Pharmaceuticals,30.75,43.71,1.352
245,Product 0245,Office Supplies,63.5,122.59,0.585
246,Product 0246,Food & Beverage,60.39,107.2,0.587
247,Product 0247,Office Supplies,43.8,86.92,25.555
248,Product 0248,Apparel,31.94,65.69,2.19
249,Product 0249,Home & Kitchen,41.67,64.41,0.13
250,Product 0250,Food & Beverage,50.08,66.46,0.19
